tax_id 	Org_name       	GeneID    	CurrentID 	Status 	Symbol       	Aliases                           	description                                                                                          	other_designations                                                                                                      	map_location 	chromosome 	genomic_nucleotide_accession.version 	start_position_on_the_genomic_accession 	end_position_on_the_genomic_accession 	orientation 	exon_count 	OMIM 	
  9600 	Pongo pygmaeus 	129030444 	        0 	live   	CD8A         	                                  	CD8 subunit alpha                                                                                    	T-cell surface glycoprotein CD8 alpha chain|CD8 alpha chain|Popy-CD8alpha|T-lymphocyte differentiation antigen T8/Leu-2 	             	        12 	NC_072385.2                          	                               46436479 	                             46443580 	plus        	         6 	     	
  9600 	Pongo pygmaeus 	129030443 	        0 	live   	CD8B         	CD8B1                             	CD8 subunit beta                                                                                     	T-cell surface glycoprotein CD8 beta chain|CD8 beta chain|Popy-CD8beta                                                  	             	        12 	NC_072385.2                          	                               46366285 	                             46412902 	plus        	         7 	     	
  9600 	Pongo pygmaeus 	129029288 	        0 	live   	RSAD2        	                                  	radical S-adenosyl methionine domain containing 2                                                    	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2|radical S-adenosyl methionine domain-containing protein 2   	             	        12 	NC_072385.2                          	                              127143661 	                            127176136 	minus       	         7 	     	
  9600 	Pongo pygmaeus 	129030899 	        0 	live   	DDX1         	                                  	DEAD-box helicase 1                                                                                  	ATP-dependent RNA helicase DDX1                                                                                         	             	        12 	NC_072385.2                          	                              118355125 	                            118422487 	minus       	        35 	     	
  9600 	Pongo pygmaeus 	129030898 	        0 	live   	NBAS         	                                  	NBAS subunit of NRZ tethering complex                                                                	NBAS subunit of NRZ tethering complex                                                                                   	             	        12 	NC_072385.2                          	                              118422782 	                            118816339 	plus        	        52 	     	
  9600 	Pongo pygmaeus 	129030894 	        0 	live   	ANXA4        	                                  	annexin A4                                                                                           	annexin A4                                                                                                              	             	        12 	NC_072385.2                          	                               63696911 	                             63782338 	minus       	        16 	     	
  9600 	Pongo pygmaeus 	129030893 	        0 	live   	GMCL1        	                                  	germ cell-less 1, spermatogenesis associated                                                         	germ cell-less protein-like 1                                                                                           	             	        12 	NC_072385.2                          	                               63641973 	                             63694069 	minus       	        14 	     	
  9600 	Pongo pygmaeus 	129030892 	        0 	live   	SNRNP27      	                                  	small nuclear ribonucleoprotein U4/U6.U5 subunit 27                                                  	U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein                                                                 	             	        12 	NC_072385.2                          	                               63616809 	                             63628839 	minus       	         8 	     	
  9600 	Pongo pygmaeus 	129030891 	        0 	live   	MXD1         	                                  	MAX dimerization protein 1                                                                           	max dimerization protein 1                                                                                              	             	        12 	NC_072385.2                          	                               63582174 	                             63607741 	minus       	         6 	     	
  9600 	Pongo pygmaeus 	129030889 	        0 	live   	AFF3         	                                  	ALF transcription elongation factor 3                                                                	AF4/FMR2 family member 3                                                                                                	             	        12 	NC_072385.2                          	                               29870723 	                             30449801 	minus       	        28 	     	
  9600 	Pongo pygmaeus 	129030879 	        0 	live   	LYG1         	                                  	lysozyme g1                                                                                          	lysozyme g-like protein 1                                                                                               	             	        12 	NC_072385.2                          	                               28999834 	                             29117884 	plus        	        10 	     	
  9600 	Pongo pygmaeus 	129030873 	        0 	live   	LIPT1        	                                  	lipoyltransferase 1                                                                                  	lipoyl amidotransferase LIPT1, mitochondrial                                                                            	             	        12 	NC_072385.2                          	                               28794939 	                             28802935 	plus        	         5 	     	
  9600 	Pongo pygmaeus 	129030869 	        0 	live   	EIF5B        	                                  	eukaryotic translation initiation factor 5B                                                          	eukaryotic translation initiation factor 5B                                                                             	             	        12 	NC_072385.2                          	                               29656859 	                             29720346 	plus        	        24 	     	
  9600 	Pongo pygmaeus 	129030868 	        0 	live   	REV1         	                                  	REV1 DNA directed polymerase                                                                         	DNA repair protein REV1                                                                                                 	             	        12 	NC_072385.2                          	                               29720991 	                             29810489 	minus       	        28 	     	
  9600 	Pongo pygmaeus 	129030864 	        0 	live   	ZNF638       	                                  	zinc finger protein 638                                                                              	zinc finger protein 638                                                                                                 	             	        12 	NC_072385.2                          	                               62122145 	                             62274535 	minus       	        28 	     	
